Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
HQSMS,25/01/2013,0000022145,DHL Express (SUISSE) S.A.,CHE,POSTAL SERVICES,"236,004.39"
HQSMS,25/01/2013,0000022147,Scan Global Logistics A/S,DNK,TRANSPORT SUPPORT,"166,000.00"
HQSMS,25/01/2013,0000022148,Gartner Switzerland GMBH,CHE,EDUCATION/ TRAINING SERVICES,"134,240.00"
HQSMS,25/01/2013,0000022149,ENCOMPASS LLC,USA,EDUCATION/ TRAINING SERVICES,"457,900.00"
YEM01,26/01/2013,0000002224,UNITED NATIONS OFFICE FOR PROJECT SERVIC,JOR,BUSINESS/ ADMINISTRATIVE SER,"636,540.00"
LBR01,28/01/2013,0000001461,EXECUTIVE SECURITY CONSULTANTCY,LBR,SECURITY/ SAFETY SERVICES,"111,900.00"
SAU01,28/01/2013,0000000492,SAIF ALI SAIF ATEEG ALQUBAISI,ARE,BUSINESS/ ADMINISTRATIVE SER,"102,096.36"
SEN01,28/01/2013,0000001541,SEN INTERNATIONAL LABOUR ORGANIZATION,SEN,FINANCIAL SERVICES,"110,863.00"
TZA01,28/01/2013,0000002359,ENGEN PETROLEUM (TANZANIA) LTD,TZA,DIESEL,"176,304.00"
HQSMS,29/01/2013,0000022158,Scan Global Logistics A/S,DNK,TRANSPORT SUPPORT,"125,286.75"
JOR01,29/01/2013,0000001788,Tawlefah Logistics Service,JOR,SOAP/CLEANING /HYGIENE SUPPLIE,"162,683.61"
LBR01,29/01/2013,0000001468,ANGELA SAAB,LBR,BUSINESS/ ADMINISTRATIVE SER,"102,000.00"
COG01,30/01/2013,0000001042,X-OIL  CONGO,COG,DIESEL,"259,517.33"
HQSMS,30/01/2013,0000022166,SERVICES INDUSTRIELS DE GENEVE,CHE,UTILITIES,"120,746.43"
HQSMS,30/01/2013,0000022167,UNITED NATIONS OFFICE AT GENEVA,CHE,BUSINESS/ ADMINISTRATIVE SER,"300,000.00"
JOR01,30/01/2013,0000001802,Irbid District Electricity Company LTD,JOR,UTILITIES,"131,668.93"
KEN01,30/01/2013,0000005681,HASS PETROLEUM (K) LTD,KEN,DIESEL,"337,601.40"
SAU01,30/01/2013,0000000495,Arab Red Cross&Red Cresecent Org,SAU,BUSINESS/ ADMINISTRATIVE SER,"100,160.04"
SYR01,30/01/2013,0000003257,ALHOUDA CO.,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"359,600.00"
SYR01,30/01/2013,0000003258,ALHOUDA CO.,LBN,BLANKETS,"487,500.00"
SYR01,30/01/2013,0000003259,ALHOUDA CO.,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"2,274,000.00"
KEN01,31/01/2013,0000005683,HASS PETROLEUM (K) LTD,KEN,DIESEL,"156,228.17"
KEN01,31/01/2013,0000005684,KNIGHT FRANK KENYA LTD,KEN,BUSINESS/ ADMINISTRATIVE SER,"152,035.92"
SSD01,31/01/2013,0000000535,IAN DENT,SSD,FINANCIAL SERVICES,"160,154.00"
COG01,01/02/2013,0000001047,X-OIL  CONGO,COG,DIESEL,"278,486.44"
PAK01,01/02/2013,0000003953,Top Star Industries ( Pvt ) Limited,PAK,BEDCLOTHES/ MATRESSES/ TOWELS,"105,927.86"
PAK01,01/02/2013,0000003954,H. SHEIKH NOOR-UD-DIN AND SONS (PVT) LTD,PAK,PLASTIC PRODUCTS (SHEETS & ROL,"197,911.58"
PAK01,01/02/2013,0000003955,NATIONAL TENT HOUSE,PAK,BEDCLOTHES/ MATRESSES/ TOWELS,"678,346.38"
PAK01,01/02/2013,0000003956,PARAMOUNT TARPAULIN INDUSTRIES,PAK,BLANKETS,"477,008.70"
SYR01,03/02/2013,0000003266,SYRIATEL MOBILE TELECOM,SYR,TELECOMS SERVICES,"151,841.07"
JOR01,04/02/2013,0000001814,Kuehne+Nagel,JOR,STORAGE/PACKING/HANDLING,"176,120.00"
JOR01,04/02/2013,0000001815,FINE HYGIENIC PAPER CO.,JOR,PERSONAL CARE PRODUCTS,"105,932.20"
SSD01,04/02/2013,0000000539,UNMISS,CHE,DIESEL,"1,683,363.17"
USA01,04/02/2013,0000000442,UNITED NATIONS INFORMATION CENTER,USA,BUSINESS/ ADMINISTRATIVE SER,"327,000.00"
KEN01,05/02/2013,0000005695,HASS PETROLEUM (K) LTD,KEN,DIESEL,"193,600.00"
YEM01,05/02/2013,0000002234,MANSOUR AL-DHAFER FOR TRADING ESTABLI.,YEM,SOAP/CLEANING /HYGIENE SUPPLIE,"110,239.92"
HQSMS,06/02/2013,0000022184,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"108,182.91"
HQSMS,06/02/2013,0000022186,LANDesk International Ltd,IRL,COMPUTER SERVICES,"133,978.06"
IRN01,06/02/2013,0000005225,Danish Refugee Council,DNK,BUSINESS/ ADMINISTRATIVE SER,"139,155.90"
JOR01,06/02/2013,0000001825,International for foam and Mattresses,JOR,BEDCLOTHES/ MATRESSES/ TOWELS,"930,861.58"
NGA01,06/02/2013,0000000734,ITCC TECHNICAL LTD,NGA,BUSINESS/ ADMINISTRATIVE SER,"132,000.00"
TZA01,06/02/2013,0000002368,SOAP AND ALLIED INDUSTRIES LIMITED,TZA,SOAP/CLEANING /HYGIENE SUPPLIE,"160,000.00"
YEM01,06/02/2013,0000002239,Olive Green Human Resources & Recruiting,YEM,WRITING/TRANSLATION/ INTERPRET,"159,493.44"
COD01,07/02/2013,0000004622,MAGENYA PROTECTION,COD,SECURITY/ SAFETY SERVICES,"115,500.00"
HQSMS,07/02/2013,0000022188,Jordan Mobile Telephone Service Company,JOR,TELECOMS SERVICES,"207,449.15"
HQSMS,07/02/2013,0000022190,GALLAY ET JUFER SA,CHE,MAINTENANCE/ CONSTRUCTION SER,"124,726.47"
SSD01,07/02/2013,0000000556,GAR-GAR TRANSPORTERS LTD,SSD,CARGO/PASSENGER TRANSPORT,"135,500.00"
HQSMS,08/02/2013,0000022192,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"132,600.00"
HQSMS,08/02/2013,0000022193,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"2,982,000.00"
HQSMS,08/02/2013,0000022195,INDIA IMPEX,IND,LAMP/ LAMP COMPONENTS,"249,240.00"
BDI01,11/02/2013,0000000523,FAROOK SALEH  ADAM,BDI,BUSINESS/ ADMINISTRATIVE SER,"120,000.00"
HQSMS,11/02/2013,0000022206,Anandtex International Private Limited,IND,BLANKETS,"219,926.84"
HQSMS,11/02/2013,0000022209,O.K.I. GENERAL TRADING LLC,ARE,BLANKETS,"373,425.00"
HQSMS,11/02/2013,0000022210,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"136,791.04"
HQSMS,11/02/2013,0000022212,INDO-DANE TEXTILE INDUSTRIES PVT. LTD.,IND,BLANKETS,"199,500.00"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
HQSMS,11/02/2013,0000022215,PRIYANKA (INDIA) PVT LTD,IND,KITCHENWARE,"270,000.00"
HQSMS,12/02/2013,0000022218,VANDANA LOGISTICS,IND,KITCHENWARE,"243,000.00"
HQSMS,12/02/2013,0000022231,ALPINTER,BEL,PLASTIC PRODUCTS (SHEETS & ROL,"416,800.00"
HQSMS,12/02/2013,0000022234,N-R-S INTERNATIONAL -  FZE,ARE,BLANKETS,"116,994.00"
HQSMS,12/02/2013,0000022237,N-R-S INTERNATIONAL -  FZE,ARE,BLANKETS,"143,345.16"
TZA01,12/02/2013,0000002370,ULTIMATE SECURTY LIMITED,TZA,SECURITY/ SAFETY SERVICES,"279,715.53"
COL01,13/02/2013,0000002225,CASALIMPIA S.A.,COL,MAINTENANCE/ CONSTRUCTION SER,"174,943.57"
HQSMS,13/02/2013,0000022245,VANDANA LOGISTICS,IND,BEDCLOTHES/ MATRESSES/ TOWELS,"115,200.00"
HQSMS,13/02/2013,0000022249,Paramount Tarpaulin Industries,PAK,BLANKETS,"519,200.00"
HQSMS,13/02/2013,0000022250,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"123,086.84"
HQSMS,13/02/2013,0000022252,ALPINTER,BEL,BLANKETS,"359,964.00"
HQSMS,13/02/2013,0000022253,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"100,352.78"
HQSMS,13/02/2013,0000022255,NATIONAL TENT HOUSE,PAK,BLANKETS,"508,827.30"
HQSMS,13/02/2013,0000022256,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"125,780.19"
HQSMS,14/02/2013,0000022278,HCL Technologies Limited,IND,COMPUTER SERVICES,"1,363,391.00"
HQSMS,15/02/2013,0000022290,MICROSOFT IRELAND OPERATIONS LTD,IRL,COMPUTER SERVICES,"967,731.18"
HQSMS,15/02/2013,0000022295,NATIONAL TENT HOUSE,PAK,BLANKETS,"586,766.80"
HQSMS,15/02/2013,0000022296,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"177,805.00"
HQSMS,15/02/2013,0000022298,BESTNET A/S,DNK,MOSQUITO NET,"231,227.50"
HQSMS,15/02/2013,0000022301,N-R-S INTERNATIONAL -  FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"189,213.80"
HQSMS,15/02/2013,0000022305,O.B. WIIK AS,NOR,PREFABRICATED Warehouse,"215,100.00"
JOR01,15/02/2013,0000001831,Taiem Sons Constructions Est.,JOR,MAINTENANCE/ CONSTRUCTION SER,"3,178,983.05"
LBR01,15/02/2013,0000001489,UNITED NATIONS MISSION IN LIBERIA,LBR,DIESEL,"364,722.50"
HQSMS,17/02/2013,0000022313,HCL Technologies Limited,IND,COMPUTER SERVICES,"191,665.00"
HQSMS,18/02/2013,0000022315,UNITED NATIONS OFFICE AT GENEVA,CHE,SECURITY/ SAFETY SERVICES,"3,600,000.00"
HQSMS,18/02/2013,0000022322,NATIONAL TENT HOUSE,PAK,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"4,120,000.00"
HQSMS,18/02/2013,0000022323,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"143,640.00"
HQSMS,18/02/2013,0000022332,VANDANA LOGISTICS,IND,KITCHENWARE,"167,609.52"
HQSMS,18/02/2013,0000022335,JORDAN DATA COMMUNICATION SERVICES CO.,JOR,TELECOMS SERVICES,"207,449.15"
HQSMS,18/02/2013,0000022336,TECHNO RELIEF OVERSEAS (I) PVT LTD,IND,KITCHENWARE,"130,272.00"
JOR01,18/02/2013,0000001836,Food Security stores,JOR,PREPARED/ PRESERVED FOODS,"1,364,564.88"
KAZ01,18/02/2013,0000000511,UNDP IN KAZAKHSTAN,KAZ,BUSINESS/ ADMINISTRATIVE SER,"183,459.00"
PSFRR,18/02/2013,0000000093,DEMO TV LTD,GBR,ADVERTISING/ INFORMATION SER,"125,309.12"
SSD01,18/02/2013,0000000590,WORLD FOOD PROGRAMME,ITA,CHARTERS,"304,225.00"
COL01,19/02/2013,0000002233,CONSTRUCTORA J. ORTIZ G. Y CIA S.C.A,COL,BUSINESS/ ADMINISTRATIVE SER,"169,300.23"
HQSMS,19/02/2013,0000022351,OPEN TEXT AG - SUISSE,CHE,COMPUTER SERVICES,"193,180.44"
SYR01,19/02/2013,0000003281,SAMER GHOSSEN,LBN,PERSONAL CARE PRODUCTS,"181,156.60"
AFG01,20/02/2013,0000003066,Abdullah Mokhtarzada,CHE,BUSINESS/ ADMINISTRATIVE SER,"192,000.00"
HQSMS,20/02/2013,0000022355,TECHPRIDE LIMITED,KEN,"STRUCTURAL MATERIALS ( TIMBER,","1,025,648.44"
HQSMS,20/02/2013,0000022356,TRANSMA ENTERPRISES LTD,SSD,STRUCTURAL BUILDING PRODUCTS /,"144,000.00"
PSFRR,20/02/2013,0000000099,DEMO TV LTD,GBR,ADVERTISING/ INFORMATION SER,"334,301.22"
HQSMS,21/02/2013,0000022364,DANOFFICE PLC,DNK,DATA COLLECTION EQUIPMENT,"198,898.65"
FRA01,22/02/2013,0000000298,AFIAA,FRA,BUSINESS/ ADMINISTRATIVE SER,"203,527.82"
HQSMS,22/02/2013,0000022371,VANDANA LOGISTICS,IND,KITCHENWARE,"741,150.00"
HQSMS,22/02/2013,0000022373,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"104,040.00"
HQSMS,22/02/2013,0000022376,SWISSCOM (Switzerland) Ltd,CHE,TELECOMS SERVICES,"235,229.76"
HQSMS,22/02/2013,0000022377,CABLECOM GMBH,CHE,TELECOMS SERVICES,"306,345.73"
HQSMS,22/02/2013,0000022379,ID INTEGRATED DATA SA,CHE,COMPUTER SERVICES,"429,923.41"
ESH01,25/02/2013,0000000246,KUEHNE AND NAGEL A/S,DNK,CHARTERS,"2,645,590.23"
HQSMS,25/02/2013,0000022380,VOLVO TRUCK CORPORATION,SWE,TANKERS,"549,495.59"
SSD01,25/02/2013,0000000606,GAR-GAR TRANSPORTERS LTD,SSD,CARGO/PASSENGER TRANSPORT,"175,415.60"
HQSMS,26/02/2013,0000022389,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"171,596.20"
HQSMS,26/02/2013,0000022394,SPARTAN RELIEF SUPPLIES LIMITED,KEN,WATER CANS,"136,272.00"
JOR01,26/02/2013,0000001858,Kuehne+Nagel,JOR,TRANSPORT SUPPORT,"282,485.88"
MYS01,26/02/2013,0000000844,SECURE GUARDS SDN.BHD.,MYS,SECURITY/ SAFETY SERVICES,"193,670.67"
ETH01,27/02/2013,0000002472,Packtra PLC,ETH,TRANSPORT SUPPORT,"249,861.28"
HQSMS,27/02/2013,0000022397,BIDCO OIL REFINERIES LIMITED,KEN,SOAP/CLEANING /HYGIENE SUPPLIE,"1,057,500.00"
HQSMS,27/02/2013,0000022398,TRANSIMEX,CMR,STORAGE/PACKING/HANDLING,"155,138.18"
HQSMS,27/02/2013,0000022402,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"349,715.06"
HQSMS,27/02/2013,0000022403,NET HEALTH LIMITED,TZA,MOSQUITO NET,"501,098.40"
HQSMS,27/02/2013,0000022404,Kuehne+Nagel,JOR,STORAGE/PACKING/HANDLING,"912,000.00"
HQSMS,27/02/2013,0000022405,THINK CONSULTING SOLUTIONS LTD.,GBR,COMPUTER SERVICES,"110,410.09"
HQSMS,27/02/2013,0000022407,Adobe Systems Software Ireland Limited,IRL,COMPUTER SERVICES,"125,801.17"
IRQ01,27/02/2013,0000001567,UNITED NATIONS ASS. MISSION FOR IRAQ,KWT,BUSINESS/ ADMINISTRATIVE SER,"481,682.00"
KEN01,27/02/2013,0000005732,PINNIE AGENCY LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"237,922.29"
JOR01,28/02/2013,0000001860,International for foam and Mattresses,JOR,BEDCLOTHES/ MATRESSES/ TOWELS,"868,644.07"
SYR01,28/02/2013,0000003290,SAMER GHOSSEN,LBN,PERSONAL CARE PRODUCTS,"128,000.00"
SYR01,28/02/2013,0000003291,SAMER GHOSSEN,LBN,PERSONAL CARE PRODUCTS,"1,104,000.00"
HQSMS,01/03/2013,0000022417,CLESTRA SA,CHE,MAINTENANCE/ CONSTRUCTION SER,"269,216.13"
HQSMS,04/03/2013,0000022422,Humanitarian Outcomes Ltd,IRL,ENGINEERING SERVICES,"149,115.00"
SYR01,04/03/2013,0000003294,N-R-S INTERNATIONAL -  FZE,ARE,BLANKETS,"1,070,000.00"
HQSMS,05/03/2013,0000022427,UNITED NATIONS OFFICE AT GENEVA,CHE,BUSINESS/ ADMINISTRATIVE SER,"2,627,407.00"
HQSMS,05/03/2013,0000022428,UNITED NATIONS OFFICE AT GENEVA,CHE,BUSINESS/ ADMINISTRATIVE SER,"806,294.00"
HQSMS,05/03/2013,0000022429,UNITED NATIONS OFFICE AT NAIROBI,KEN,BUSINESS/ ADMINISTRATIVE SER,"1,040,322.00"
HQSMS,05/03/2013,0000022431,TOYOTA GIBRALTAR STOCKHOLDINGS LTD,GBR,TERRAIN VEHICLES,"330,593.61"
HQSMS,05/03/2013,0000022433,COLT TELECOM AG,CHE,TELECOMS SERVICES,"113,549.46"
HQSMS,05/03/2013,0000022434,COELMO,ITA,WATER COOLED POWER GENERATORS,"207,259.15"
SSD01,05/03/2013,0000000623,"EUROCHAMP LTD , JUBA SOUTH SUDAN",SDN,PREFABRICATED House,"149,999.88"
HQSMS,06/03/2013,0000022436,MARSH LIMITED,GBR,INSURANCE SERVICES,"432,784.00"
HQSMS,06/03/2013,0000022439,NATIONAL TENT HOUSE,PAK,PLASTIC PRODUCTS (SHEETS & ROL,"482,500.00"
DONIK,07/03/2013,0000000107,Stichting IKEA Foundation,NLD,BEDCLOTHES/ MATRESSES/ TOWELS,"413,192.00"
HQSMS,07/03/2013,0000022447,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"151,697.11"
HQSMS,08/03/2013,0000022456,BIDCO OIL REFINERIES LIMITED,KEN,SOAP/CLEANING /HYGIENE SUPPLIE,"870,400.00"
JOR01,08/03/2013,0000001876,Jordan Pioneer For Metal Industry,JOR,PREFABRICATED House,"187,980.22"
SCG02,08/03/2013,0000001701,BALKAN INTERNATIONAL,KOS,SECURITY/ SAFETY SERVICES,"106,381.44"
JOR01,11/03/2013,0000001882,Food Security stores,JOR,PREPARED/ PRESERVED FOODS,"911,050.93"
JOR01,11/03/2013,0000001883,International for foam and Mattresses,JOR,BEDCLOTHES/ MATRESSES/ TOWELS,"579,096.05"
DONIK,12/03/2013,0000000110,Stichting IKEA Foundation,NLD,BEDCLOTHES/ MATRESSES/ TOWELS,"131,196.00"
HQSMS,12/03/2013,0000022475,G. Feron et de Clebsattel SA,FRA,PREFABRICATED House,"1,009,450.26"
HQSMS,12/03/2013,0000022476,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"244,045.00"
HQSMS,12/03/2013,0000022477,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"4,261,950.00"
HQSMS,12/03/2013,0000022478,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"157,965.00"
HQSMS,12/03/2013,0000022480,TECHNO RELIEF OVERSEAS (I) PVT LTD,IND,KITCHENWARE,"352,231.20"
MMR01,12/03/2013,0000001163,"National Prosperity Co., Ltd.",MMR,MAINTENANCE/ CONSTRUCTION SER,"110,087.88"
MMR01,12/03/2013,0000001164,GISSAPA MYINT MAHAR CONSTRUCTION,MMR,MAINTENANCE/ CONSTRUCTION SER,"467,672.10"
MMR01,12/03/2013,0000001165,Zwe Construction,MMR,MAINTENANCE/ CONSTRUCTION SER,"251,113.98"
HQSMS,13/03/2013,0000022483,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"2,072,925.00"
HQSMS,13/03/2013,0000022485,ALPINTER,BEL,PLASTIC PRODUCTS (SHEETS & ROL,"145,880.00"
HQSMS,13/03/2013,0000022488,VANDANA LOGISTICS,IND,KITCHENWARE,"115,911.00"
HQSMS,13/03/2013,0000022493,O.B. WIIK AS,NOR,PREFABRICATED Warehouse,"143,400.00"
JOR01,13/03/2013,0000001890,Tawlefah Logistics Service,JOR,SOAP/CLEANING /HYGIENE SUPPLIE,"301,327.68"
TCD01,13/03/2013,0000003880,AZUR SA,CMR,SOAP/CLEANING /HYGIENE SUPPLIE,"961,000.37"
ZWE01,13/03/2013,0000000263,PICKTALK INVESTMENTS,ZWE,MAIZE/CORN,"107,300.00"
HQSMS,14/03/2013,0000022505,INDO-DANE TEXTILE INDUSTRIES PVT. LTD.,IND,BLANKETS,"160,504.40"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
HQSMS,14/03/2013,0000022507,O.K.I. GENERAL TRADING LLC,ARE,BLANKETS,"739,281.24"
HQSMS,14/03/2013,0000022508,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"213,345.00"
HQSMS,14/03/2013,0000022509,Anandtex International Private Limited,IND,BLANKETS,"257,086.89"
THA01,14/03/2013,0000000840,SG GLOBAL SUPPORT SERVICES SDN BHD,MYS,ADVERTISING/ INFORMATION SER,"342,457.41"
THA01,14/03/2013,0000000844,UN ESCAP,THA,BUSINESS/ ADMINISTRATIVE SER,"105,127.00"
PSFRR,15/03/2013,0000000111,APPCO GROUP ITALIA SRL,ITA,ADVERTISING/ INFORMATION SER,"1,290,450.19"
IRQ01,17/03/2013,0000001592,UNITED NATIONS ASS. MISSION FOR IRAQ,KWT,BUSINESS/ ADMINISTRATIVE SER,"213,350.00"
IRQ01,17/03/2013,0000001593,UNITED NATIONS ASS. MISSION FOR IRAQ,KWT,BUSINESS/ ADMINISTRATIVE SER,"252,280.00"
KEN01,18/03/2013,0000005748,RANEEM PLATSIC INDUSTRIES LIMITED,KEN,BEDCLOTHES/ MATRESSES/ TOWELS,"122,851.18"
SYR01,18/03/2013,0000003302,Outreach Refugee Volunteers,SYR,CIVIL AFFAIRS SERVICES,"107,554.09"
TCD01,18/03/2013,0000003886,PROGRAMME des NATIONS UNIES pour le DEVL,TCD,BUSINESS/ ADMINISTRATIVE SER,"107,974.45"
ESH01,19/03/2013,0000000250,MINURSO,ESH,TELECOMS SERVICES,"186,170.00"
