Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
AGO01,30-Dec-09,0000000391,"GRUPO JLCP INVESTIMENTOS, LDA",AGO,MAINTENANCE/ CONSTRUCTION SER,"220,693"
HQSMS,29-Dec-09,0000013073,Protechnique Co.,JOR,MISC MEDICAL SUPPLIES,"807,770"
HQSMS,29-Dec-09,0000013074,EASTERN SURGICAL COMPANY,IND,CLEANING/ LAUNDRY EQUIPMENT,"311,200"
HQSMS,28-Dec-09,0000013067,TOYOTA MOTOR CORPORATION,JPN,SAFETY/ RESCUE VEHICLE,"284,174"
HQSMS,26-Dec-09,0000013056,GENERAL MOTORS (KENYA) LTD.,KEN,GENERAL CARGO TRUCKS,"320,975"
HQSMS,25-Dec-09,0000013049,ALPHA ARMOURING PANZERUNG GmbH,DEU,ARMOURED VEHICLES,"687,624"
HQSMS,25-Dec-09,0000013052,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"690,747"
HQSMS,25-Dec-09,0000013053,K. ARANO AND CO. LTD.,JPN,TANKERS,"467,845"
HQSMS,25-Dec-09,0000013055,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"389,458"
ETH01,24-Dec-09,0000000908,DH GEDA BALNKET FACTORY,ETH,BLANKETS,"137,763"
HQSMS,24-Dec-09,0000013043,STAR PROJECT VEHICLES LTD,GIB,GENERAL CARGO TRUCKS,"529,945"
HQSMS,24-Dec-09,0000013045,PEACOCK ELECTROMECHANICAL TRADING CO,ARE,TANKERS,"328,848"
KEN01,22-Dec-09,0000002194,EXPORT TRADING COMPANY LTD,KEN,SEEDS/ BULBS/ SEEDLINGS,"448,758"
KEN01,22-Dec-09,0000002200,ARMOR GROUP KENYA,KEN,SECURITY/ SAFETY SERVICES,"125,722"
MRT01,22-Dec-09,0000000168,ETS BAH OULD KHATTARY,MRT,MAINTENANCE/ CONSTRUCTION SER,"207,565"
ETH01,21-Dec-09,0000000890,PALM ETHIOPIA PLC,ETH,SOAP/CLEANING /HYGIENE SUPPLIE,"143,753"
ETH01,21-Dec-09,0000000891,DES GENERAL TRADING PLC,ETH,BEDCLOTHES/ MATRESSES/ TOWELS,"143,241"
ETH01,21-Dec-09,0000000896,AL-YUSUF GENERAL CONTRACTOR,ETH,MAINTENANCE/ CONSTRUCTION SER,"132,966"
GEO01,21-Dec-09,0000000849,GURAMI TSITSAVA PRIVATE ENTERPRENEUR,GEO,"STRUCTURAL MATERIALS ( TIMBER,","379,819"
GEO01,21-Dec-09,0000000850,LALI MCHEDLIDZE,GEO,STRUCTURAL BUILDING PRODUCTS /,"265,714"
HQSMS,21-Dec-09,0000012970,TECIMER LTD,TUR,POWER GENERATORS,"384,157"
HQSMS,21-Dec-09,0000012979,EMERGING MARKETS COMMUNICATIONS INC,USA,SATELLITE EQUIP/ ACCESSORIES,"240,000"
HQSMS,21-Dec-09,0000012984,UNITED NATIONS GENERAL FUND,USA,FINANCIAL SERVICES,"503,000"
HQSMS,21-Dec-09,0000012988,TOYOTA MOTOR CORPORATION,JPN,SAFETY/ RESCUE VEHICLE,"126,241"
HQSMS,21-Dec-09,0000012994,NUTRISET SA,FRA,PREPARED/ PRESERVED FOODS,"150,505"
HQSMS,21-Dec-09,0000012998,TOYOTA MOTOR CORPORATION,JPN,ARMOURED VEHICLES,"112,221"
HQSMS,21-Dec-09,0000013007,NISSEI TRADING CO. LTD.,JPN,MISC MEDICAL SUPPLIES,"154,000"
HQSMS,21-Dec-09,0000013008,HEXAGON NUTRITION PVT. LTD.,IND,VITAMINS/ MINERALS,"102,500"
HQSMS,21-Dec-09,0000013012,KJAER +KJAER A/S,DNK,MOTORIZED CYCLES,"128,397"
HQSMS,21-Dec-09,0000013019,KUEHNE & NAGEL A/S,DNK,TRANSPORT SUPPORT,"129,600"
KEN01,21-Dec-09,0000002117,ERNST AND YOUNG,KEN,FINANCIAL SERVICES,"135,084"
KEN01,21-Dec-09,0000002130,Mush Construction & Civil Eng. Co. Ltd.,KEN,MAINTENANCE/ CONSTRUCTION SER,"260,388"
