Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
HQSMS,29-12-10,0000015763,TOYOTA MOTOR CORPORATION,JPN,TERRAIN VEHICLES,"156,963"
KEN01,27-12-10,0000003305,KINGS WEAR LIMITED,KEN,PERSONAL CARE PRODUCTS,"383,562"
COD01,26-12-10,0000003154,PLANSON EUROPE,DNK,COMPUTERS,"108,640"
HQSMS,26-12-10,0000015748,EMERGING MARKETS COMMUNICATIONS INC,USA,SATELLITE EQUIP/ ACCESSORIES,"133,750"
HQSMS,24-12-10,0000015725,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"236,235"
HQSMS,23-12-10,0000015719,BOSS PRO-TEC,DEU,SPARE PARTS/ ACCESSORIES,"138,944"
HQSMS,23-12-10,0000015720,TOYOTA MOTOR CORPORATION,JPN,TERRAIN VEHICLES,"125,290"
ETH01,22-12-10,0000001327,MIJA BUILDING CONTTACTOR,ETH,MAINTENANCE/ CONSTRUCTION SER,"129,873"
HQSMS,22-12-10,0000015647,QINGDAO GYOHA EN TECH CO. LTD.,CHN,PLASTIC PRODUCTS (SHEETS & ROL,"287,537"
HQSMS,22-12-10,0000015648,THE MEDICAL EXPORT GROUP BV,NLD,MISC DRUGS,"496,532"
HQSMS,22-12-10,0000015652,QINGDAO GYOHA EN TECH CO. LTD.,CHN,PLASTIC PRODUCTS (SHEETS & ROL,"1,576,800"
HQSMS,22-12-10,0000015653,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"167,520"
HQSMS,22-12-10,0000015656,QINGDAO GYOHA EN TECH CO. LTD.,CHN,PLASTIC PRODUCTS (SHEETS & ROL,"328,500"
HQSMS,22-12-10,0000015661,QINGDAO GYOHA EN TECH CO. LTD.,CHN,PLASTIC PRODUCTS (SHEETS & ROL,"328,500"
HQSMS,22-12-10,0000015667,QINGDAO GYOHA EN TECH CO. LTD.,CHN,PLASTIC PRODUCTS (SHEETS & ROL,"234,335"
HQSMS,22-12-10,0000015670,TOYOP RELIEF PVT LTD,IND,PLASTIC PRODUCTS (SHEETS & ROL,"389,160"
HQSMS,22-12-10,0000015674,TOYOP RELIEF PVT LTD,IND,PLASTIC PRODUCTS (SHEETS & ROL,"129,720"
HQSMS,22-12-10,0000015684,Protechnique Co.,JOR,MISC MEDICAL SUPPLIES,"294,425"
HQSMS,22-12-10,0000015689,CASH COMMERCIAL INVESTMENT GROUP,JOR,MISC MEDICAL SUPPLIES,"315,157"
HQSMS,22-12-10,0000015694,KUEHNE AND NAGEL A/S,DNK,CHARTERS,"900,000"
HQSMS,22-12-10,0000015698,FWW FAHRZEUGWERK Gmbh,DEU,GENERAL CARGO TRUCKS,"159,937"
HQSMS,22-12-10,0000015702,TRADE FACTORS OVERSEAS LIMITED,GIB,ARMOURED VEHICLES,"294,545"
HQSMS,22-12-10,0000015703,BESTNET EUROPE LTD,GBR,MOSQUITO NET,"187,530"
HQSMS,22-12-10,0000015712,QINGDAO GYOHA EN TECH CO. LTD.,CHN,PLASTIC PRODUCTS (SHEETS & ROL,"306,600"
HQSMS,22-12-10,0000015715,TOYOTA MOTOR CORPORATION,JPN,TERRAIN VEHICLES,"3,843,618"
KEN01,22-12-10,0000003244,BIDCO OIL REFINERIES LIMITED,KEN,SOAP/CLEANING /HYGIENE SUPPLIE,"180,000"
KEN01,22-12-10,0000003257,NAWII GENERAL CONTRACTORS LTD,KEN,MAINTENANCE/ CONSTRUCTION SER,"103,340"
KEN01,22-12-10,0000003270,HASS PETROLEUM (K) LTD,KEN,DIESEL,"418,431"
PAK01,22-12-10,0000002491,TOYOTA ZARGHOON MOTORS,PAK,SAFETY/ RESCUE VEHICLE,"213,693"
PAK01,22-12-10,0000002494,STAR CONSTRUCTION COMPANY,PAK,BUSINESS/ ADMINISTRATIVE SER,"313,520"
SYR01,22-12-10,0000002420,MEDICAL GROUP,SYR,MISC MEDICAL SUPPLIES,"178,000"
